Sample	Target	Reads
N10	paramoeba_mito_scf7180000003282_17181-17683_1	13359
N10	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	106
N10	paramoeba_nuc_scf7180000003537_4360-5238_1	26554
N10	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	21817
N10	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	14222
N10	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	21410
N10	paramoeba_mito_scf7180000003282_72335-73819_451	13645
N10	paramoeba_mito_scf7180000003282_2577-3764_451	4482
N10	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	7268
N10	paramoeba_mito_scf7180000003282_37622-38599_451	6884
N10	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	13435
N10	perk_nuc_scf7180000003402_73894-74460_1	4663
N10	perk_nuc_scf7180000003591_3416-4408_1-990_1	43594
N10	perk_nuc_scf7180000003623_28906-30006_1-1100_1	7217
N10	perk_nuc_scf7180000003752_5410-7175_739-1757_1	29699
N10	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N10	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	385
N10	perk_nuc_scf7180000003402_73455-74100_1	14878
N10	perk_nuc_scf7180000003352_71298-72206_1-908_1	12410
N10	perk_nuc_scf7180000003591_3414-9913_1-2291_901	31657
N10	perk_nuc_scf7180000003334_39138-40969_372-1777_1	23636
N10	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	8523
N10	perk_nuc_scf7180000003602_54737-56021_1-1284_1	4803
N10	perk_nuc_scf7180000003687_22701-24808_4-2107_901	17199
N10	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	6275
N10	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	5066
N10	perk_nuc_scf7180000003687_22703-23724_2-1021_1	9497
N10	perk_nuc_scf7180000003411_95621-97517_1-1896_1	27074
N10	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	5611
N10	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	5111
N10	perk_nuc_scf7180000003687_28378-29539_1-1161_1	44075
N10	perk_nuc_scf7180000003660_28831-29439_1	8765
N10	perk_nuc_scf7180000003435_20352-22534_1-2182_901	8
N10	perk_nuc_scf7180000003435_21523-22534_1-1011_1	5180
N10	perk_nuc_scf7180000003334_14360-15471_115-1021_1	26253
N10	paramoeba_nuc_scf7180000003402_66620-67222_1	10841
N10	perk_nuc_scf7180000003316_105075-106432_82-1354_1	21140
N10	paramoeba_nuc_scf7180000003517_25093-25627_1	4755
N10	perk_nuc_scf7180000003478_19048-20119_1-1071_1	30442
N10	perk_nuc_scf7180000003897_23035-23940_1-905_1	12338
N10	perk_nuc_scf7180000003532_6044-7296_4-1252_1	5207
N10	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	1487
N10	perk_nuc_scf7180000003402_72046-72895_1	7921
N10	perk_nuc_scf7180000003709_72424-73568_3-1144_1	11602
N10	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	8618
N10	perk_nuc_scf7180000003560_925-2762_1-1837_901	16698
N10	perk_nuc_scf7180000003326_75881-76823_1-942_1	5350
N10	perk_nuc_scf7180000003897_16527-17683_3-1156_1	4860
